Date,Close,Change
1/29/18,144.33,-0.8
1/30/18,145.15,0.82
1/31/18,147.7,2.55
2/1/18,147.06,-0.64
2/2/18,145.22,-1.84
2/5/18,142.04,-3.18
2/6/18,140.17,-1.87
2/7/18,140,-0.17
2/8/18,133.57,-6.43
2/9/18,136.05,2.48
2/12/18,136.23,0.18
2/13/18,136.31,0.08
2/14/18,135.48,-0.83
2/15/18,136.22,0.74
2/16/18,140.02,3.8
2/20/18,139.24,-0.78
2/21/18,137.44,-1.8
2/22/18,138.98,1.54
2/23/18,141.87,2.89
2/26/18,142.74,0.87
2/27/18,140.7,-2.04
2/28/18,139.33,-1.37
3/1/18,135.37,-3.96
3/2/18,134,-1.37
3/5/18,136.81,2.81
3/6/18,138.88,2.07
3/7/18,140,1.12
3/8/18,142.74,2.74
3/9/18,143.58,0.84
3/12/18,145.08,1.5
3/13/18,146.25,1.17
3/14/18,146.46,0.21
3/15/18,146.65,0.19
3/16/18,146.55,-0.1
3/19/18,145.12,-1.43
3/20/18,146.31,1.19
3/21/18,142.33,-3.98
3/22/18,143.01,0.68
3/23/18,142.27,-0.74
3/26/18,145.21,2.94
3/27/18,144.46,-0.75
3/28/18,144.3,-0.16
3/29/18,145.34,1.04
4/2/18,143.83,-1.51
4/3/18,141.42,-2.41
4/4/18,143.05,1.63
4/5/18,144.08,1.03
4/6/18,142.16,-1.92
4/9/18,143.19,1.03
4/10/18,137.4,-5.79
4/11/18,139.92,2.52
4/12/18,138.38,-1.54
4/13/18,138.9,0.52
4/16/18,138.52,-0.38
4/17/18,141.02,2.5
4/18/18,141.02,0
4/19/18,137.42,-3.6
4/20/18,136.62,-0.8
4/23/18,138.2,1.58
4/24/18,136.96,-1.24
4/25/18,135.73,-1.23
4/26/18,136.84,1.11
4/27/18,135.24,-1.6
4/30/18,136.36,1.12
5/1/18,135.1,-1.26
5/2/18,136.47,1.37
5/3/18,137.58,1.11
5/4/18,138.85,1.27
5/7/18,138.14,-0.71
5/8/18,137.01,-1.13
5/9/18,137.95,0.94
5/10/18,139.89,1.94
5/11/18,138.86,-1.03
5/14/18,138.29,-0.57
5/15/18,136.7,-1.59
5/16/18,136.47,-0.23
5/17/18,136.85,0.38
5/18/18,137.05,0.2
5/21/18,137.38,0.33
5/22/18,137.15,-0.23
5/23/18,136.83,-0.32
5/24/18,135.5,-1.33
5/25/18,136.33,0.83
5/29/18,135.97,-0.36
5/30/18,137.83,1.86
5/31/18,138.37,0.54
6/1/18,138.52,0.15
6/4/18,140.06,1.54
6/5/18,138.91,-1.15
6/6/18,139.04,0.13
6/7/18,138.18,-0.86
6/8/18,138.58,0.4
6/11/18,139.64,1.06
6/12/18,141.14,1.5
6/13/18,136.46,-4.68
6/14/18,138.35,1.89
6/15/18,138.56,0.21
6/18/18,138.23,-0.33
